iteration,test_acc,actions
200,0.8919999999999999,"[[[0.00917478 0.        ]
  [0.         0.0226432 ]]]"
201,0.888,"[[[0.01011105 0.        ]
  [0.         0.01650849]]]"
202,0.8845000000000001,"[[[0.00937764 0.        ]
  [0.         0.01720363]]]"
203,0.889,"[[[0.0098931  0.        ]
  [0.         0.01824189]]]"
204,0.8815,"[[[0.00937099 0.        ]
  [0.         0.01725711]]]"
205,0.8895,"[[[0.01275608 0.        ]
  [0.         0.01439882]]]"
206,0.889,"[[[0.00929878 0.        ]
  [0.         0.01718264]]]"
207,0.8959999999999999,"[[[0.00935833 0.        ]
  [0.         0.01665231]]]"
208,0.859,"[[[0.01013589 0.        ]
  [0.         0.01578273]]]"
209,0.884,"[[[0.01214698 0.        ]
  [0.         0.01707951]]]"
210,0.8975,"[[[0.01101734 0.        ]
  [0.         0.01611469]]]"
211,0.8805,"[[[0.00925601 0.        ]
  [0.         0.01652727]]]"
212,0.8939999999999999,"[[[0.00911209 0.        ]
  [0.         0.01970145]]]"
213,0.9045,"[[[0.00926541 0.        ]
  [0.         0.01697407]]]"
214,0.9015,"[[[0.00946157 0.        ]
  [0.         0.0161239 ]]]"
215,0.902,"[[[0.00906888 0.        ]
  [0.         0.01632907]]]"
216,0.9015,"[[[0.0102     0.        ]
  [0.         0.01573556]]]"
217,0.887,"[[[0.009059   0.        ]
  [0.         0.01685002]]]"
218,0.8875,"[[[0.01021134 0.        ]
  [0.         0.01635093]]]"
219,0.9015,"[[[0.00900963 0.        ]
  [0.         0.01794766]]]"
220,0.8975,"[[[0.008902   0.        ]
  [0.         0.01652575]]]"
221,0.8915,"[[[0.00955783 0.        ]
  [0.         0.01636429]]]"
222,0.879,"[[[0.00885604 0.        ]
  [0.         0.01799241]]]"
223,0.9015,"[[[0.00889207 0.        ]
  [0.         0.01934145]]]"
224,0.9039999999999999,"[[[0.00928903 0.        ]
  [0.         0.01573111]]]"
225,0.8879999999999999,"[[[0.00979989 0.        ]
  [0.         0.0155095 ]]]"
226,0.9005,"[[[0.00915646 0.        ]
  [0.         0.01888255]]]"
227,0.905,"[[[0.00903744 0.        ]
  [0.         0.01575837]]]"
228,0.9039999999999999,"[[[0.00969977 0.        ]
  [0.         0.01558896]]]"
229,0.8945,"[[[0.00961365 0.        ]
  [0.         0.01555632]]]"
230,0.875,"[[[0.00893188 0.        ]
  [0.         0.01779979]]]"
231,0.899,"[[[0.00881466 0.        ]
  [0.         0.02113547]]]"
232,0.8885000000000001,"[[[0.00938653 0.        ]
  [0.         0.01584881]]]"
233,0.8999999999999999,"[[[0.00976148 0.        ]
  [0.         0.01655218]]]"
234,0.901,"[[[0.00994547 0.        ]
  [0.         0.01559832]]]"
235,0.9105,"[[[0.00970944 0.        ]
  [0.         0.01569533]]]"
